expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad,ium
19951009,PROCAPS CALCIO + VITAMINA D SABOR CHOCOLATE,PROCAPS S.A.,INVIMA 2021FE-0004131-R2,02/03/2005 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,19951009,1,30,CAJA CON FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD CON TAPA BLANCA DE POLIPROPILENO. CON LINNER DE ALUMINIO X 30 TABLETAS MASTICABLES.,Activo,11/10/2006,04/01/2021,No,U,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),BUCAL,A,VITAMINA D3 POLVO 100000 UI/G (EQUIVALENTE A 300 UI DE VITAMINA D3),mg,3,,TABLETA MASTICABLE,PROCAPS S.A.,FABRICANTE,FABRICAR Y EXPORTAR,
1981154,OQ - FRESH ® SOLUCIÓN OFTÁLMICA,OFTALMOQUIMICA S.A.,INVIMA 2016 M-13873-R2,11/09/1999 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,1981154,3,15,FRASCO GOTEROSIN DATOEN POLIETILENO DE BAJA DENSIDADSIN DATOCON SUBTAPA CAPILAR Y TAPA DE SEGURIDAD POR 15 ML. .,Inactivo,11/10/2006,10/14/2010,No,ml,S01GA51,NAFAZOLINA COMBINACIONES,CONJUNTIVAL,C,FENIRAMINA MALEATO,mg,3,ML DE SOLUCION,SOLUCION OFTALMICA,VITALIS S.A. C.I. (PLANTA 6),FABRICANTE,FABRICAR Y VENDER,
20011733,ERITROMICINA TABLETAS 500 MG,ANGLOPHARMA S.A.,INVIMA 2020M-0010436-R1,02/04/2010 12:00:00 AM,02/16/2020 12:00:00 AM,En tramite renov,20011733,3,250,CAJA DE CARTULINA POR 250 TABLETAS 25 BLISTER (PVC - ALUMINIO) POR 10 TABLETAS C/U,Activo,11/10/2009,,No,U,J01FA01,ERITROMICINA,ORAL,A,ERITROMICINA ESTEARATO 60%(EQUIVALENTE A ERITROMICINA BASE),mg,500,TABLETA,TABLETA,GONHER FARMACEUTICA LTDA,FABRICANTE,FABRICAR Y VENDER,
19904844,DOLOFEN SLEEP,PROCAPS S.A.,INVIMA 2021M-13901-R3,11/22/1999 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,19904844,28,10,CAJA CON UN FRASCO BLANCO PEAD Y TAPA DE PP Y LINNER DE ALUMINIO POR 10 TABLETAS.,Activo,06/23/2010,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,500,TABLETA,TABLETA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
19904844,DOLOFEN SLEEP,PROCAPS S.A.,INVIMA 2021M-13901-R3,11/22/1999 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,19904844,6,20,BLISTER DE PVC/ALUMINIO POR 10 TABLETAS. EN CAJA POR 20 TABLETAS,Inactivo,11/10/2006,06/23/2010,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,500,TABLETA,TABLETA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
20104517,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2021M-0017107-R1,06/20/2016 12:00:00 AM,09/09/2026 12:00:00 AM,En tramite renov,20104517,32,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ACERO CON CAPACIDAD DE 8.7M3,Activo,06/16/2016,,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENOV/V,%,99,CILINDRO,GAS,OXISALUD S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20017916,CONTUMAX® POLVO,ASOFARMA DE MEXICO S.A. DE C.V.,INVIMA 2021M-0011380-R2,09/22/2010 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20017916,3,15,MUESTRA MEDICA: CAJA X 15 SOBRES DE 17 G CADA UNO,Activo,07/13/2011,,Si,U,A06AD15,MACROGOL,ORAL,D,POLIETILENGLICOL 3350,g,100,100G,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,EMIFARMAS.A. DE C..V.,FABRICANTE,IMPORTAR Y VENDER,
19943882,RETROMICINA ® LOCION,PHARMADERM S.A.,INVIMA 2021M-0003925-R2,11/17/2004 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,19943882,8,1,MUESTRA MEDICA : CAJA PLEGADIZA CON FRASCO GOTERO PEAD 60% Y PEBD 40% PORSIN DATO60 ML.,Activo,04/08/2016,,Si,U,D10AF52,ERITROMICINA COMBINACIONES,TOPICA (EXTERNA),B,ERITROMICINA BASE,g,4,100 ML,LOCION,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER,
19948264,OMEPRAZOL 10 MG,COLMED LTDA,INVIMA 2021M-0004097-R2,01/24/2005 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,19948264,4,15,CAJA POR 15 CAPSULAS EN BLISTER PVC / ALUMINIO EN SOBRE POUCH.,Activo,11/10/2006,04/01/2021,No,U,A02BC01,OMEPRAZOL,ORAL,A,OMEPRAZOL MICROGRANULOS85.5 MG/G 117.0 MG(EQUIVALENTE A OMEPRAZOL,mg,10,CAPSULA,CAPSULA DURA,PROCAPS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER,
20098771,TRIMEBUTINA 200 MG + SIMETICONA 120 MG,COLMED LTDA,INVIMA 2021M-0016780-R1,02/02/2016 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20098771,8,60,CAJA POR 60 TABLETAS RECUBIERTAS EN BLISTER PVC-PVDC/ALUMINIO.,Activo,11/06/2015,,No,U,A03AA05,TRIMEBUTINA,ORAL,A,TRIMEBUTINA MALEATO,mg,200,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
20014104,BILAXAN POLVO,LABQUIFAR LTDA.,INVIMA 2021M-0010901-R1,06/03/2010 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20014104,2,12,POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL. SOBRE TRILAMINADO POR 30 G . CAJA POR 12 SOBRES,Activo,04/06/2010,04/01/2021,No,U,A06AB57,CASCARA COMBINACIONES,ORAL,E,SULFATO DE MAGNESIO HEPTAHIDRATADO (EQUIVALENTE A SULFATO DE MAGNESIO 29 G),g,59.35,100G DE POLVO PARA RECONSTITUIR,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,SERVICIO TECNICO GONHER FARMACEUTICA LTDA.,FABRICANTE,FABRICAR Y VENDER,
20084425,BIO-GLICOL ®,BIOFLUIDOS & FARMA S.A.S.,INVIMA 2021M-0016203-R1,08/31/2015 12:00:00 AM,07/01/2021 12:00:00 AM,En tramite renov,20084425,2,4,CAJA POR 4 SOBRES DE ALUMINIO/POLIETILENO POR 69 G.,Activo,08/19/2015,07/01/2021,No,U,A06AD65,MACROGOL COMBINACIONES,ORAL,A,CLORURO DE POTASIO,g,0.7425,SIN DATO,POLVO PARA RECONSTITUIR A SOLUCION ORAL,QUIBI S.A. EN REESTRUCTURACION,FABRICANTE,FABRICAR Y VENDER,
32392,HIDROXIDO DE ALUMINIO – GEL CARBONATO DE MAGNESIO. HIDRÓXIDO DE MAGNESIO. SIMETICONA,MOMENTA FARMACEUTICA S.A.S.,INVIMA 2009 M-001608-R3,03/02/1999 12:00:00 AM,03/03/2019 12:00:00 AM,En tramite renov,32392,3,100,CAJA PLEGADIZA EN CARTULINA BLANCA IMPRESA X 10 BLISTER 10 TABLETAS P.V.C.TRASPARENTE BLANCO. FOIL DE ALUMINIO.,Activo,11/10/2006,02/27/2024,No,U,A02AF02,COMBINACIONES DE SALES Y ANTIFLATULENTOS,ORAL,A,SIMETICONA,mg,25,TABLETA,TABLETA MASTICABLE,EUROFARMA COLOMBIA S.A.S,FABRICANTE,FABRICAR Y VENDER,
20104517,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2021M-0017107-R1,06/20/2016 12:00:00 AM,09/09/2026 12:00:00 AM,En tramite renov,20104517,30,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ACERO CON CAPACIDAD DE 8.0M3,Activo,06/16/2016,,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENOV/V,%,99,CILINDRO,GAS,OXIGENOS DEL LLANO S.A.S.,FABRICANTE,FABRICAR Y VENDER,
59096,OMEPRAZOL 40 MG,PROCAPS S.A.,INVIMA 2021M-000341-R3,12/20/1999 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,59096,3,20,CAJA X 20 CÁPSULAS DURAS. EN BLÍSTER PVC INCOLORO TRANSPARENTE/ALUMINIO POR 10 CÁPSULAS DURAS CADA UNO.,Activo,11/10/2006,,No,U,A02BC01,OMEPRAZOL,ORAL,A,OMEPRAZOL MICROGRANULOS *(85.5MG/G) 468 MG. EQUIVALENTES A OMEPRAZOL,mg,40,CÁPSULA DURA,CAPSULA DURA,PROCAPS S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER,
19948264,OMEPRAZOL 10 MG,COLMED LTDA,INVIMA 2021M-0004097-R2,01/24/2005 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,19948264,2,5,CAJA POR 5 CAPSULAS EN BLISTER PVC / ALUMINIO.,Activo,11/10/2006,04/01/2021,No,U,A02BC01,OMEPRAZOL,ORAL,A,OMEPRAZOL MICROGRANULOS85.5 MG/G 117.0 MG(EQUIVALENTE A OMEPRAZOL,mg,10,CAPSULA,CAPSULA DURA,PROCAPS S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER,
20098771,TRIMEBUTINA 200 MG + SIMETICONA 120 MG,COLMED LTDA,INVIMA 2021M-0016780-R1,02/02/2016 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20098771,7,40,CAJA POR 40SIN DATOTABLETAS RECUBIERTAS EN BLISTER PVC-PVDC/ALUMINIO.,Activo,11/06/2015,,No,U,A03AA05,TRIMEBUTINA,ORAL,A,SIMETICONA,mg,120,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
20104517,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2021M-0017107-R1,06/20/2016 12:00:00 AM,09/09/2026 12:00:00 AM,En tramite renov,20104517,5,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ALUMINIO CON CAPACIDAD DE 0.62M3,Activo,06/16/2016,,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENOV/V,%,99,CILINDRO,GAS,OXISALUD S.A.S.,FABRICANTE,FABRICAR Y VENDER,
50589,OXIGENO MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2021M-006366-R4,06/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,50589,57,200,TANQUE EN ACERO INOXIDABLE X 200 LITROS.,Activo,07/09/2015,,No,l,V03AN01,OXIGENO,INHALACION,F,OXIGENO,%,99,METRO CUBICO,GAS,MESSER COLOMBIA S.A. (PLANTA ASU BOGOTÁ),FABRICANTE,FABRICAR Y VENDER,
226424,AKATINOL ®10 MG TABLETAS RECUBIERTAS,MERZ PHARMACEUTICALS GMBH,INVIMA 2020 M-14124 R2,01/01/1999 12:00:00 AM,03/02/2020 12:00:00 AM,En tramite renov,226424,4,14,CAJA POR 14 TABLETAS EN BLISTER PP / ALUMINIO.,Activo,11/10/2006,,No,U,N06DX01,MEMANTINA,ORAL,A,MEMANTINA CLORHIDRATO,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,ROTTENDORF PHARMA GMBH,FABRICANTE,IMPORTAR Y VENDER,
19953870,OFTAFLOX® GOTAS.,MEGALABS COLOMBIA S.A.S,INVIMA 2021M-0004769-R2,09/14/2005 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,19953870,1,1,PLEGABLE EN CARTULINA CON UN FRASCOSIN DATOGOTERO PLÁSTICO DE PEBD PORSIN DATO5SIN DATOML DE COLOR NATURAL.SIN DATOTAPASIN DATODESIN DATOPOLIPROPILENO Y SUBTAPA.,Activo,11/10/2006,,No,U,S01AA20,ANTIBIOTICOS EN COMBINACION CON OTROS F RMACOS,OFTÁLMICA,C,POLIMIXINABSULFATO,UI,6000,ML DE SUSPENSIÓN.,SUSPENSION OFTALMICA,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
42729,AMBIGEL® 500MG CAPSULAS,PATMAR S.A,INVIMA 2020M-004477-R4,08/05/1994 12:00:00 AM,10/01/2020 12:00:00 AM,En tramite renov,42729,1,100,CAJA PLEGADIZA POR 100 CAPSULAS EN BLISTER PVC/ ALUMINIO,Activo,11/10/2006,,No,U,J01CA01,AMPICILINA,ORAL,A,AMPICILINA TRIHIDRATO PRECOMPACTADA 578.00 MG (EQUIVALENTE A AMPICILINA BASE),mg,500,CADA CAPSULA,CAPSULA DURA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20104517,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2021M-0017107-R1,06/20/2016 12:00:00 AM,09/09/2026 12:00:00 AM,En tramite renov,20104517,20,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ACERO CON CAPACIDAD DE 4.0M3,Activo,06/16/2016,,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENOV/V,%,99,CILINDRO,GAS,OXIGENOS DEL LLANO S.A.S.,FABRICANTE,FABRICAR Y VENDER,
50589,OXIGENO MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2021M-006366-R4,06/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,50589,10,4.5,CILINDRO EN ACERO INOXIDABLE X 4.5 METROS CUBICOS,Activo,01/30/2007,,No,m3,V03AN01,OXIGENO,INHALACION,F,OXIGENO,%,99,METRO CUBICO,GAS,MESSER COLOMBIA S.A. (PLANTA ASU CARTAGENA),FABRICANTE,FABRICAR Y VENDER,
20088116,X RAY DOL®,GENOMMA LAB COLOMBIA LTDA.,INVIMA 2021M-0016526-R1,11/10/2015 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20088116,16,3,CAJA PLEGADIZA POR 3 TABLETAS QUE CONTIENE 1 BLÍSTER EN PVC -ALUMINIO POR 3 TABLETAS,Activo,08/22/2022,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,NAPROXENO SODICO EQUIVALENTE A NAPROXENO,mg,220,TABLETA,TABLETA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20072506,TRIMESHER® 200MG,DISTRIBUCIONES FARMACEUTICAS HERSON S.A.S.,INVIMA 2020M-0015731-R1,02/25/2015 12:00:00 AM,10/01/2020 12:00:00 AM,En tramite renov,20072506,1,10,CAJA PLEGADIZA POR 10SIN DATOTABLETAS EN BLISTER PVC/ALUMINIO POR 10 TABLETAS C/U.,Activo,09/10/2014,,No,U,A03AA05,TRIMEBUTINA,ORAL,A,TRIMEBUTINA MALEATO,mg,200,TABLETA,TABLETA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20072221,FLEXIMAX® NAP TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2019M-0015541-R1,12/12/2014 12:00:00 AM,01/01/3000 12:00:00 AM,En tramite renov,20072221,8,4,MUESTRA MÉDICA: CAJA X 4 TABLETAS RECUBIERTAS. EN BLÍSTER ALUMINIO/ALUMINIO X 4 TABLETAS RECUBIERTAS.,Activo,11/21/2014,,Si,U,M03BX51,COMBINACIONES TIOCOLCHICOSIDO,ORAL,A,TIOCOLCHICÓSIDO,mg,4,TABLETA RECUBIERTA,TABLETA CUBIERTA CON PELICULA,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20067345,XTANDI® 40 MG,ASTELLAS PHARMA US. INC.,INVIMA 2021M-0016850-R1,02/22/2016 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20067345,1,120,IUM:1E1033301000101 CAJA DE CARTON CON BLISTER DE PVC/PCTFE/ALU EN BOLSA DE ALUMINIO POR 120 CÁPSULAS BLANDAS,Activo,07/16/2015,,No,U,L02BB04,ENZALUTAMIDA,ORAL,A,ENZALUTAMIDA,mg,40,CADA CAPSULA BLANDA,CAPSULA BLANDA,CATALENT PHARMA SOLUTIONS LLC,FABRICANTE,IMPORTAR Y VENDER,1E1033301000101
20100151,LOMECAN V,GENOMMA LAB COLOMBIA LTDA.,INVIMA 2021M-0016822-R1,02/09/2016 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20100151,9,3,MUESTRA MÉDICA: CAJA POR 3 OVULOS EN BLISTER PVC-PVDC TRANSPARENTE / ALUMINIO POR 3 OVULOS,Activo,02/05/2016,,Si,U,G01AF02,CLOTRIMAZOL,VAGINAL,A,CLOTRIMAZOL,mg,200,OVULOS,CAPSULA VAGINAL,HIGH PACKING COMPANY S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER,
50589,OXIGENO MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2021M-006366-R4,06/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,50589,32,2.7,CILINDRO EN ACERO INOXIDABLE X 2.7 METROS CUBICOS,Activo,09/02/2013,,No,m3,V03AN01,OXIGENO,INHALACION,F,OXIGENO,%,99,METRO CUBICO,GAS,OXIGENOS DE COLOMBIA LTDA.,FABRICANTE,FABRICAR Y VENDER,
20088116,X RAY DOL®,GENOMMA LAB COLOMBIA LTDA.,INVIMA 2021M-0016526-R1,11/10/2015 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20088116,3,1,PLEGADIZA POR 48 TABLETAS QUE CONTIENE 4 BLISTER POR 12 TABLETAS,Activo,06/03/2015,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,NAPROXENO SODICO EQUIVALENTE A NAPROXENO,mg,220,TABLETA,TABLETA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
19943882,RETROMICINA ® LOCION,PHARMADERM S.A.,INVIMA 2021M-0003925-R2,11/17/2004 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,19943882,2,1,FRASCO GOTEROSIN DATOPOR 15 ML.,Inactivo,11/10/2006,03/27/2015,No,U,D10AF52,ERITROMICINA COMBINACIONES,TOPICA (EXTERNA),B,ACIDO RETINOICO,g,0.025,100 ML,LOCION,SEVERIANO FERNÁNDEZ M & CIA. LTDA,FABRICANTE,FABRICAR Y VENDER,
226424,AKATINOL ®10 MG TABLETAS RECUBIERTAS,MERZ PHARMACEUTICALS GMBH,INVIMA 2020 M-14124 R2,01/01/1999 12:00:00 AM,03/02/2020 12:00:00 AM,En tramite renov,226424,10,56,USO INSTITUCIONAL:CAJA POR 56 TABLETAS RECUBIERTAS EN BLISTER PP/ALUMINIO,Inactivo,04/14/2015,,No,U,N06DX01,MEMANTINA,ORAL,A,MEMANTINA CLORHIDRATO,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,ROTTENDORF PHARMA GMBH,FABRICANTE,IMPORTAR Y VENDER,
20047996,IPCA PANTODEX DR - 40,IPCA LABORATORIES LIMITED SUCURSAL COLOMBIA,INVIMA 2020M-0015437 R1,11/21/2014 12:00:00 AM,12/16/2019 12:00:00 AM,En tramite renov,20047996,9,28,CAJA POR 28 TABLETAS EN BLISTER ALU-ALU POR 14 TABLETAS,Activo,10/02/2014,,No,U,A02BC02,PANTOPRAZOL,ORAL,A,PANTOPRAZOL BASE ( EQ. PANTOPRAZOL SODIO SESQUIHYDRATO) EP,mg,40,CADA TABLETA DE LIBERACION RETARDADA,TABLETA DE LIBERACION RETARDADA,IPCA LABORATORIES LIMITED,FABRICANTE,IMPORTAR Y VENDER,
19942801,VARCOR® 160 MG,PROCAPS S.A.,INVIMA 2021M-0004073-R2,01/19/2005 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,19942801,2,28,CAJA POR 28 CAPSULAS BLANDAS EN BLISTER ALUMINIO/ALUMINIO POR 7 CAPSULAS C/U.,Activo,11/10/2006,,No,U,C09CA03,VALSARTAN,ORAL,A,VALSARTAN,mg,160,CAPSULA BLANDA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
20082011,ELIGARD®7.5 MG,TOLMAR. INC,INVIMA 2021M-0016720-R1,12/18/2015 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20082011,1,1,CAJA CON DOS BANDEJAS TERMOFORMADAS. UNA DE ELLAS CONTIENE JERINGA PRELLENADASIN DATOA (SISTEMA DE LIBERACIÓN ATRIGEL). EL VÁSTAGO GRANDE DEL ÉMBOLO Y UN SOBRE CON MATERIAL DESECANTE. LA OTRA BANDEJA CONTIENE JERINGA PRELLENADA B (LEUPROLIDA ACETATO). UNA AGUJA,Activo,04/24/2015,,No,U,L02AE02,LEUPRORELINA ACETATO,SUBCUTANEA,A,LEUPROLIDAACETATO,mg,7.5,JERINGA PRELLENADA A,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,ADIUM SAS,IMPORTADOR,IMPORTAR Y VENDER,
20098771,TRIMEBUTINA 200 MG + SIMETICONA 120 MG,COLMED LTDA,INVIMA 2021M-0016780-R1,02/02/2016 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20098771,10,150,CAJA POR 150SIN DATOTABLETAS RECUBIERTAS EN BLISTER PVC-PVDC/ALUMINIO.,Activo,11/06/2015,,No,U,A03AA05,TRIMEBUTINA,ORAL,A,SIMETICONA,mg,120,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
1981154,OQ - FRESH ® SOLUCIÓN OFTÁLMICA,OFTALMOQUIMICA S.A.,INVIMA 2016 M-13873-R2,11/09/1999 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,1981154,1,5,FRASCO EN POLIETILENO DE BAJA DENSIDAD CON CAPACIDAD DE 5ML. CON SUBTAPA CAPILAR Y TAPA DE SEGURIDAD (ANILLO INFERIOR ROMPIBLE),Activo,11/10/2006,,No,ml,S01GA51,NAFAZOLINA COMBINACIONES,CONJUNTIVAL,C,NAFAZOLINA CLORHIDRATO,mg,0.25,ML DE SOLUCION,SOLUCION OFTALMICA,QUIBI S.A. EN REESTRUCTURACION,FABRICANTE,FABRICAR Y VENDER,
19948264,OMEPRAZOL 10 MG,COLMED LTDA,INVIMA 2021M-0004097-R2,01/24/2005 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,19948264,9,15,CAJA POR 15 CAPSULAS EN BLISTER ALUMINIO / ALUMINIO EN SOBRE POUCH .,Activo,11/10/2006,04/01/2021,No,U,A02BC01,OMEPRAZOL,ORAL,A,OMEPRAZOL MICROGRANULOS85.5 MG/G 117.0 MG(EQUIVALENTE A OMEPRAZOL,mg,10,CAPSULA,CAPSULA DURA,PROCAPS S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER,
20104517,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2021M-0017107-R1,06/20/2016 12:00:00 AM,09/09/2026 12:00:00 AM,En tramite renov,20104517,6,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ALUMINIO CON CAPACIDAD DE 1.0M3,Activo,06/16/2016,,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENOV/V,%,99,CILINDRO,GAS,OXIGENOS DEL LLANO S.A.S.,FABRICANTE,FABRICAR Y VENDER,1O1060121000100
20010477,MEROPENEM 500 MG,COLMED LTDA,INVIMA 2020M-0010488-R1,02/26/2010 12:00:00 AM,01/01/1900 12:00:00 AM,En tramite renov,20010477,3,10,CAJA POR 10 FRASCOS VIALESSIN DATOTRANSPARENTESSIN DATODE 20 ML Y AGRAFE FLIP OFF GRIS,Activo,10/22/2009,,No,U,J01DH02,MEROPENEM,INTRAVENOSA,A,MEZCLA DEMEROPENEM TRIHIDRATO Y CARBONATO DE SODIOEQUIVALENTE A MEROPENEM,mg,500,FRASCO VIAL,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,PHARMAYECT S.A.,FABRICANTE,FABRICAR Y VENDER,
50589,OXIGENO MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2021M-006366-R4,06/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,50589,52,50,TERMO EN ACERO INOXIDABLE X 50 METROS CUBICOS,Activo,09/02/2013,,No,m3,V03AN01,OXIGENO,INHALACION,F,OXIGENO,%,99,METRO CUBICO,GAS,MESSER COLOMBIA S.A. (PLANTA ASU CARTAGENA),FABRICANTE,FABRICAR Y VENDER,
1980022,IBUPROFENO TABLETAS RECUBIERTAS X 600 MG,GENFAR S.A,INVIMA 2021M-015017-R3,01/01/1999 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,1980022,6,200,CAJA POR 200 TABLETAS RECUBIERTAS EN BLISTER PVC / ALUMINIO,Activo,09/11/2013,04/01/2021,No,U,M01AE01,IBUPROFENO,ORAL,A,IBUPROFENO DE COMPRESION DIRECTA DEL 66%909.091 MGEQUIVALENTE A IBUPROFENO,mg,600,TABLETA RECUBIERTA,TABLETA RECUBIERTA,FAREVA VILLA RICA S.A.S.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER,
27076,MICROGYNON 30,ADIUM SAS,INVIMA 2021M-000145-R5,01/01/1999 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,27076,3,21,MUESTRA MÉDICA: CAJA CON UN BLISTER PVC TRANSPARENTE/ ALUMINIO POR 21 GRAGEAS,Activo,03/12/2016,,Si,U,G03FA11,LEVONORGESTREL Y ESTROGENO,ORAL,A,ETINILESTRADIOL,mg,0.03,GRAGEA.,TABLETA CUBIERTA (GRAGEA),BAYER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
50888,RISPERDAL 1MG / ML,JANSSEN CILAG S.A.,INVIMA 2020M-013435-R2,08/29/1999 12:00:00 AM,01/21/2020 12:00:00 AM,En tramite renov,50888,4,60,MUESTRA MÉDICA: FRASCO DE VIDRIO POR 60 ML CON GOTERO DOSIFICADOR. EN CAJA DE CARTON,Activo,12/11/2009,,Si,ml,N05AX08,RISPERIDONA,ORAL,B,RISPERIDONA,mg,100,CADA 100 ML DE SOLUCIÒN ORAL,SOLUCION ORAL,JANSSEN CILAG S.A. DE C.V.,FABRICANTE,IMPORTAR Y VENDER,
19917302,FLAGYL® 500 MG TABLETAS RECUBIERTAS.,LABORATORIOS BUSSIE S.A,INVIMA 2021M-0000146-R3,05/10/2001 12:00:00 AM,10/01/2021 12:00:00 AM,En tramite renov,19917302,5,30,CAJA POR 30 TABLETAS RECUBIERTAS EN BLISTER PVC/ALU.,Activo,11/10/2006,,No,U,P01AB01,METRONIDAZOL,ORAL,A,METRONIDAZOL,mg,500,TABLETA,TABLETA RECUBIERTA,SANOFI-AVENTIS DE MEXICO S.A. DE C.V.,FABRICANTE,IMPORTAR Y VENDER,
